Load,Actuator,Time,Strain
106.3796,7.472222,33.034,0.004153
106.1994,7.472222,33.101,0.004174
105.6775,7.479167,33.168,0.004194
103.531,7.472222,33.234,0.004185
101.7033,7.472222,33.301,0.004173
100.6499,7.465278,33.368,0.004169
100.188,7.465278,33.434,0.004164
100.8279,7.458333,33.501,0.004166
102.5179,7.465278,33.568,0.004185
104.29,7.472222,33.634,0.004198
105.6657,7.479167,33.701,0.004219
106.2794,7.486111,33.768,0.004248
106.0613,7.486111,33.834,0.004268
105.5432,7.486111,33.901,0.004278
104.3519,7.486111,33.968,0.004288
102.134,7.486111,34.034,0.004274
100.1958,7.479167,34.101,0.004257
99.59679,7.472222,34.168,0.004257
99.88245,7.472222,34.234,0.004258
101.3157,7.472222,34.301,0.004266
103.3242,7.479167,34.368,0.004287
105.1125,7.486111,34.434,0.004302
106.2735,7.5,34.501,0.004331
106.3669,7.5,34.568,0.004361
105.6246,7.506944,34.634,0.004379
103.743,7.506944,34.701,0.004377
101.6572,7.5,34.768,0.004367
100.3141,7.493055,34.834,0.004354
99.77145,7.486111,34.901,0.004348
100.3366,7.486111,34.968,0.004356
101.7771,7.486111,35.034,0.004364
103.4378,7.493055,35.101,0.004378
105.0226,7.5,35.168,0.004403
105.7975,7.506944,35.234,0.004422
105.8608,7.513889,35.301,0.004443
105.4456,7.513889,35.368,0.004465
104.5019,7.513889,35.434,0.004468
102.6504,7.513889,35.501,0.004459
100.9544,7.506944,35.568,0.004452
99.97366,7.5,35.634,0.004442
100.1909,7.5,35.701,0.004442
101.4391,7.5,35.768,0.004455
103.2029,7.506944,35.834,0.004466
104.9174,7.513889,35.901,0.00449
106.0262,7.520834,35.968,0.004519
106.0002,7.527778,36.034,0.004542
105.3999,7.527778,36.101,0.004559
103.8363,7.527778,36.168,0.004564
101.4209,7.520834,36.234,0.004547
99.89031,7.513889,36.301,0.004534
99.42919,7.513889,36.368,0.004535
99.4519,7.513889,36.434,0.00453
100.4884,7.513889,36.501,0.004539
102.6257,7.513889,36.568,0.004559
104.8947,7.527778,36.634,0.004583
106.109,7.534722,36.701,0.004611
106.1332,7.541667,36.768,0.004642
105.4307,7.541667,36.834,0.004654
103.6103,7.541667,36.901,0.004653
101.0831,7.534722,36.968,0.004641
99.53852,7.527778,37.034,0.004625
98.99172,7.520834,37.101,0.004621
99.65836,7.520834,37.168,0.004629
101.26,7.527778,37.234,0.004638
103.0866,7.534722,37.301,0.004653
104.7504,7.541667,37.368,0.004675
105.7765,7.548611,37.434,0.004693
105.9174,7.548611,37.501,0.004718
105.7136,7.555556,37.568,0.004738
104.4148,7.555556,37.634,0.00474
102.4833,7.548611,37.701,0.004731
100.9312,7.541667,37.768,0.004724
100.543,7.541667,37.834,0.004716
100.6093,7.541667,37.901,0.00472
101.5047,7.541667,37.968,0.004727
103.2832,7.541667,38.034,0.004741
105.2529,7.555556,38.101,0.004765
106.2875,7.5625,38.168,0.004798
106.2969,7.569444,38.234,0.004823
105.2414,7.569444,38.301,0.004842
102.8637,7.5625,38.368,0.004834
100.5936,7.555556,38.434,0.004812
99.32992,7.548611,38.501,0.004805
99.2305,7.548611,38.568,0.004807
99.65312,7.548611,38.634,0.004805
101.1941,7.548611,38.701,0.00482
103.259,7.555556,38.768,0.004841
104.9514,7.5625,38.834,0.004858
105.9148,7.569444,38.901,0.004883
105.8787,7.576389,38.968,0.004906
105.4274,7.576389,39.034,0.004916
104.4991,7.576389,39.101,0.004925
102.752,7.576389,39.168,0.004917
101.1539,7.569444,39.234,0.004904
100.4352,7.569444,39.301,0.004897
100.4185,7.5625,39.368,0.004901
101.943,7.5625,39.434,0.004907
103.8609,7.569444,39.501,0.004925
105.7199,7.583333,39.568,0.004953
106.5499,7.590278,39.634,0.004981
106.333,7.590278,39.701,0.005008
105.7023,7.590278,39.768,0.005031
103.7148,7.590278,39.834,0.005023
100.7606,7.583333,39.901,0.005002
98.92225,7.576389,39.968,0.004992
98.49334,7.569444,40.034,0.004984
99.07519,7.569444,40.101,0.004989
100.8091,7.569444,40.168,0.005006
102.769,7.576389,40.234,0.005018
104.6508,7.590278,40.301,0.005041
