Load,Actuator,Time,Strain
103.1269,8.263889,42.29,0.005272385
103.643,8.256945,42.357,0.005272734
105.2291,8.263889,42.423,0.005290163
106.8,8.263889,42.49,0.005302071
108.3205,8.277778,42.557,0.005326086
109.0374,8.284722,42.623,0.005360463
108.6799,8.284722,42.69,0.005382535
107.826,8.284722,42.757,0.005398678
105.5728,8.284722,42.823,0.00539644
102.9322,8.270834,42.89,0.005372987
101.6091,8.263889,42.957,0.005362835
101.4211,8.263889,43.023,0.005363675
101.7233,8.263889,43.09,0.005363806
103.1337,8.263889,43.157,0.005370865
105.1564,8.270834,43.223,0.005392841
106.9626,8.277778,43.29,0.005410063
108.355,8.284722,43.357,0.005432554
108.8208,8.291666,43.423,0.005464928
108.6198,8.291666,43.49,0.005486646
107.778,8.291666,43.557,0.005498999
105.5414,8.291666,43.623,0.005494041
102.6689,8.277778,43.69,0.005469761
101.1518,8.277778,43.757,0.005459095
100.933,8.270834,43.823,0.005458333
101.7294,8.270834,43.89,0.005460609
103.5563,8.277778,43.957,0.00547221
105.5952,8.284722,44.023,0.00549484
107.3087,8.291666,44.09,0.005511681
108.4337,8.298611,44.157,0.005533998
108.6687,8.305555,44.223,0.005563654
108.1315,8.305555,44.29,0.005576409
106.7061,8.305555,44.357,0.005579636
104.7813,8.298611,44.423,0.005571094
103.4727,8.291666,44.49,0.0055607
103.2503,8.291666,44.557,0.005555777
103.445,8.291666,44.623,0.005562626
104.5252,8.291666,44.69,0.005566587
106.4114,8.298611,44.757,0.005580785
108.0699,8.305555,44.823,0.005604865
109.0499,8.3125,44.89,0.005635572
109.074,8.319444,44.957,0.005668667
107.8486,8.319444,45.023,0.005689838
105.2147,8.3125,45.09,0.005675142
102.9424,8.305555,45.157,0.005655101
101.6517,8.298611,45.223,0.005649903
101.2087,8.291666,45.29,0.005642982
102.0349,8.291666,45.357,0.005645888
103.7633,8.298611,45.423,0.005661449
105.5374,8.305555,45.49,0.00567641
107.164,8.3125,45.557,0.005693297
108.2184,8.319444,45.623,0.005717018
108.6749,8.319444,45.69,0.005738354
108.4179,8.326389,45.757,0.00575553
107.3954,8.326389,45.823,0.005769359
105.5049,8.326389,45.89,0.005758851
104.0153,8.319444,45.957,0.005745662
103.4767,8.3125,46.023,0.005747096
103.5404,8.3125,46.09,0.005744767
104.3613,8.3125,46.157,0.005747543
106.0396,8.319444,46.223,0.005765287
107.7049,8.326389,46.29,0.00578326
108.954,8.333334,46.357,0.005809233
109.256,8.340278,46.423,0.005842389
108.5642,8.340278,46.49,0.005859415
106.6615,8.340278,46.557,0.00585736
104.4896,8.333334,46.623,0.005846758
102.8841,8.326389,46.69,0.005835045
